0_1	+ 1
3_1	+ A^(4) + A^(12) - A^(16)
3_1m	- A^(-16) + A^(-12) + A^(-4)
4_1|11n_19	+ A^(-8) - A^(-4) + 1 - A^(4) + A^(8)
5_1|10_132	+ A^(8) + A^(16) - A^(20) + A^(24) - A^(28)
5_1m|10_132m	- A^(-28) + A^(-24) - A^(-20) + A^(-16) + A^(-8)
5_2|11n_57m|12n_475m	+ A^(4) - A^(8) + 2*A^(12) - A^(16) + A^(20) - A^(24)
5_2m|11n_57|12n_475	- A^(-24) + A^(-20) - A^(-16) + 2*A^(-12) - A^(-8) + A^(-4)
6_1	+ A^(-8) - A^(-4) + 2 - 2*A^(4) + A^(8) - A^(12) + A^(16)
6_1m	+ A^(-16) - A^(-12) + A^(-8) - 2*A^(-4) + 2 - A^(4) + A^(8)
6_2|12n_25m	+ A^(-4) - 1 + 2*A^(4) - 2*A^(8) + 2*A^(12) - 2*A^(16) + A^(20)
6_2m|12n_25	+ A^(-20) - 2*A^(-16) + 2*A^(-12) - 2*A^(-8) + 2*A^(-4) - 1 + A^(4)
6_3	- A^(-12) + 2*A^(-8) - 2*A^(-4) + 3 - 2*A^(4) + 2*A^(8) - A^(12)
3_1*3_1	+ A^(8) + 2*A^(16) - 2*A^(20) + A^(24) - 2*A^(28) + A^(32)
3_1*3_1m	- A^(-12) + A^(-8) - A^(-4) + 3 - A^(4) + A^(8) - A^(12)
3_1m*3_1m	+ A^(-32) - 2*A^(-28) + A^(-24) - 2*A^(-20) + 2*A^(-16) + A^(-8)
7_1|12n_749m	+ A^(12) + A^(20) - A^(24) + A^(28) - A^(32) + A^(36) - A^(40)
7_1m|12n_749	- A^(-40) + A^(-36) - A^(-32) + A^(-28) - A^(-24) + A^(-20) + A^(-12)
7_2|11n_88m	+ A^(4) - A^(8) + 2*A^(12) - 2*A^(16) + 2*A^(20) - A^(24) + A^(28) - A^(32)
7_2m|11n_88	- A^(-32) + A^(-28) - A^(-24) + 2*A^(-20) - 2*A^(-16) + 2*A^(-12) - A^(-8) + A^(-4)
7_3|12n_523m	- A^(-36) + A^(-32) - 2*A^(-28) + 3*A^(-24) - 2*A^(-20) + 2*A^(-16) - A^(-12) + A^(-8)
7_3m|12n_523	+ A^(8) - A^(12) + 2*A^(16) - 2*A^(20) + 3*A^(24) - 2*A^(28) + A^(32) - A^(36)
7_4|12n_603	- A^(-32) + A^(-28) - 2*A^(-24) + 3*A^(-20) - 2*A^(-16) + 3*A^(-12) - 2*A^(-8) + A^(-4)
7_4m|12n_603m	+ A^(4) - 2*A^(8) + 3*A^(12) - 2*A^(16) + 3*A^(20) - 2*A^(24) + A^(28) - A^(32)
7_5	+ A^(8) - A^(12) + 3*A^(16) - 3*A^(20) + 3*A^(24) - 3*A^(28) + 2*A^(32) - A^(36)
7_5m	- A^(-36) + 2*A^(-32) - 3*A^(-28) + 3*A^(-24) - 3*A^(-20) + 3*A^(-16) - A^(-12) + A^(-8)
7_6	+ A^(-4) - 2 + 3*A^(4) - 3*A^(8) + 4*A^(12) - 3*A^(16) + 2*A^(20) - A^(24)
7_6m	- A^(-24) + 2*A^(-20) - 3*A^(-16) + 4*A^(-12) - 3*A^(-8) + 3*A^(-4) - 2 + A^(4)
7_7	+ A^(-16) - 2*A^(-12) + 3*A^(-8) - 4*A^(-4) + 4 - 3*A^(4) + 3*A^(8) - A^(12)
7_7m	- A^(-12) + 3*A^(-8) - 3*A^(-4) + 4 - 4*A^(4) + 3*A^(8) - 2*A^(12) + A^(16)
3_1*4_1	+ A^(-4) - 1 + 2*A^(4) - 3*A^(8) + 3*A^(12) - 2*A^(16) + 2*A^(20) - A^(24)
3_1m*4_1	- A^(-24) + 2*A^(-20) - 2*A^(-16) + 3*A^(-12) - 3*A^(-8) + 2*A^(-4) - 1 + A^(4)
8_1|11n_70m	+ A^(-8) - A^(-4) + 2 - 2*A^(4) + 2*A^(8) - 2*A^(12) + A^(16) - A^(20) + A^(24)
8_1m|11n_70	+ A^(-24) - A^(-20) + A^(-16) - 2*A^(-12) + 2*A^(-8) - 2*A^(-4) + 2 - A^(4) + A^(8)
8_2|12n_340m	+ 1 - A^(4) + 2*A^(8) - 2*A^(12) + 3*A^(16) - 3*A^(20) + 2*A^(24) - 2*A^(28) + A^(32)
8_2m|12n_340	+ A^(-32) - 2*A^(-28) + 2*A^(-24) - 3*A^(-20) + 3*A^(-16) - 2*A^(-12) + 2*A^(-8) - A^(-4) + 1
8_3	+ A^(-16) - A^(-12) + 2*A^(-8) - 3*A^(-4) + 3 - 3*A^(4) + 2*A^(8) - A^(12) + A^(16)
8_4|12n_41m	+ A^(-12) - A^(-8) + 2*A^(-4) - 3 + 3*A^(4) - 3*A^(8) + 3*A^(12) - 2*A^(16) + A^(20)
8_4m|12n_41	+ A^(-20) - 2*A^(-16) + 3*A^(-12) - 3*A^(-8) + 3*A^(-4) - 3 + 2*A^(4) - A^(8) + A^(12)
8_5|12n_282m	+ A^(-32) - 2*A^(-28) + 3*A^(-24) - 4*A^(-20) + 3*A^(-16) - 3*A^(-12) + 3*A^(-8) - A^(-4) + 1
8_5m|12n_282	+ 1 - A^(4) + 3*A^(8) - 3*A^(12) + 3*A^(16) - 4*A^(20) + 3*A^(24) - 2*A^(28) + A^(32)
