k0.1	1
k1.1	- A^(-4) - A^(-2)*v
k1.1m	-A^2*v - A^4
k2.1	-A^(-10) + A^(-6) + A^(-4)
k2.1m	A^4 + A^6 - A^10
k2.2	1 + A^(-2) + v + A^(2)
k2.3	+ A^(-8) + A^(-6)*v - A^(-2)*v
k2.3m	-A^2*v + A^6*v + A^8
k2.4	A^(-8)*v + 2*A^(-6) + A^(-4)
k2.4m	+ A^4 + 2*A^6 + A^8*v
k2.5	A^(-6)*v - A^(-4) + A^(-4)*v^2
k2.5m	- A^4 + A^4*v^2 + A^6*v
k2.6	+ A^(-2)*v + v^2 - A^4
k2.6m	- A^(-4) + v^2 + A^(2)*v
k3.1	-A^(-16) + A^(-12) + A^(-4)
k3.1m	A^4 + A^12 - A^16
k3.2	1 + A^(-8) - A^(-4) - A^(-2) + A^2
k3.2m	1 + A^(-2) - A^2 - A^4 + A^8
k3.3	- A^(-12) - A^(-10)*v + A^(-6)*v - A^(-2)*v
k3.3m	-A^2*v + A^6*v - A^10*v - A^12
k3.4	1 - A^(-6)*v - 2*A^(-4) - A^(-2) + A^(2)
k3.4m	1 + A^(-2) - A^2 - 2*A^4 - A^6*v
k3.5	- A^(-10)*v - A^(-8)*v^(2) - A^(-4) + A^(-4)*v^(2)
k3.5m	- A^(4) + A^(4)*v^(2) - A^(8)*v^(2) - A^(10)*v
k3.6	+ A^(-6)*v + A^(-2)*v - A^(-2)*v^(3) + 1 - v^(2)
k3.6m	+ 1 - v^(2) + A^(2)*v - A^(2)*v^(3) + A^(6)*v
k3.7	- A^(-4)*v^(2) + A^(-2)*v - A^(-2)*v^(3) + 1 + A^(2)*v
k3.7m	+ A^(-2)*v + 1 + A^(2)*v - A^(2)*v^(3) - A^(4)*v^(2)
k3.8	- A^(-10)*v + A^(-8) - A^(-8)*v^(2) + A^(-6)*v + A^(-4)*v^(2)
k3.8m	+ A^(4)*v^(2) + A^(6)*v + A^(8) - A^(8)*v^(2) - A^(10)*v
k3.9	+ A^(-14)*v + A^(-12) - A^(-10)*v - A^(-8) + A^(-4)
k3.9m	+ A^(4) - A^(8) - A^(10)*v + A^(12) + A^(14)*v
k3.10	- A^(-6)*v - A^(-4)*v^(2) + v^(2) - A^(4)
k3.10m	- A^(-4) + v^(2) - A^(4)*v^(2) - A^(6)*v
k3.11	+ A^(-8) + A^(-6)*v - A^(-4)*v^(2) - A^(-2)*v^(3) + A^(2)*v
k3.11m	+ A^(-2)*v - A^(2)*v^(3) - A^(4)*v^(2) + A^(6)*v + A^(8)
k3.12	+ A^(-8) - A^(-4)*v^(2) - A^(-2)*v + v^(2) + A^(2)*v
k3.12m	+ A^(-2)*v + v^(2) - A^(2)*v - A^(4)*v^(2) + A^(8)
k3.13	+ A^(-8) - A^(-8)*v^(2) + 2*A^(-6)*v - A^(-6)*v^(3)
k3.13m	+ 2*A^(6)*v - A^(6)*v^(3) + A^(8) - A^(8)*v^(2)
k3.14	- A^(-16) + A^(-12) - A^(-8) - A^(-6)*v
k3.14m	- A^(6)*v - A^(8) + A^(12) - A^(16)
k3.15	A^(-14) + A^(-12)*v - A^(-10) - A^(-8) - A^(-8)*v - A^(-6)*v
k3.15m	- A^(6)*v - A^(8) - A^(8)*v - A^(10) + A^(12)*v + A^(14)
k3.16	+ A^(-8)*v + A^(-6) - A^(-4)*v - A^(-2) - A^(-2)*v - 1
k3.16m	- 1 - A^(2) - A^(2)*v - A^(4)*v + A^(6) + A^(8)*v
k3.17	- 2*A^(-10) - A^(-8) - A^(-8)*v - A^(-6)*v
k3.17m	- A^(6)*v - A^(8) - A^(8)*v - 2*A^(10)
k3.18	+ A^(-6) - A^(-6)*v^(2) - 2*A^(-4)*v - A^(-2) - A^(-2)*v - 1
k3.18m	- 1 - A^(2) - A^(2)*v - 2*A^(4)*v + A^(6) - A^(6)*v^(2)
k3.19	- A^(-6) - A^(-4) - A^(-4)*v - A^(-2) - A^(-2)*v
k3.19m	- A^(2) - A^(2)*v - A^(4) - A^(4)*v - A^(6)
k3.20	+ A^(-14) - A^(-10) - A^(-10)*v^(2) - A^(-8) - 2*A^(-8)*v - A^(-6)*v
k3.20m	- A^(6)*v - A^(8) - 2*A^(8)*v - A^(10) - A^(10)*v^(2) + A^(14)
k3.21	+ A^(-8)*v - 2*A^(-4)*v - 2*A^(-2) - A^(-2)*v - 1
k3.21m	- 1 - 2*A^(2) - A^(2)*v - 2*A^(4)*v + A^(8)*v
k3.22	+ A^(-8) - 2*A^(-4) - 2*A^(-2) - A^(-2)*v - v
k3.22m	- v - 2*A^(2) - A^(2)*v - 2*A^(4) + A^(8)
k3.23	- v - A^(2)*v - A^(2)*v^(2) - A^(4) - A^(4)*v
k3.23m	- A^(-4) - A^(-4)*v - A^(-2)*v - A^(-2)*v^(2) - v
k3.24	- A^(-12) - A^(-10) - A^(-10)*v - A^(-8) + A^(-6) + A^(-4)
k3.24m	+ A^(4) + A^(6) - A^(8) - A^(10) - A^(10)*v - A^(12)
k4.1	1 + A^(-8) - A^(-4) - A^4 + A^8
k4.2	A^4 - A^8 + 2*A^12 + A^14 - A^16 - A^18
k4.2m	-A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)
k4.3	A^8 + A^10 - A^14 + A^18 - A^22
k4.3m	-A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)
k4.4	-A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)
k4.4m	A^4 + A^6 - A^8 - A^10 + A^12 + A^14 - A^18
k4.5 	3 - A^(-6) - A^(-4) + A^(-2) + A^2 - A^4 - A^6
k4.6 	A^8 + 2*A^10 + A^12 - 2*A^14 - 2*A^16 + A^20
k4.6m	A^(-20) - 2*A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8)
k4.7	2 + A^2 - A^(-4) - A^6
k4.7m	2 - A^(-6) + A^(-2) - A^4
k4.8	A^(-14) - 2*A^(-10) - A^(-8) + A^(-6) + 2*A^(-4)
k4.8m	2*A^4 + A^6 - A^8 - 2*A^10 + A^14
k4.9	A^8 + A^10 + A^12 - A^14 - A^16
k4.9m	-A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)
k4.10	-A^2 + A^4 + 2*A^6 + A^8 - A^10 - A^12
k4.10m	-A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) + A^(-4) - A^(-2)
k4.11	+ A^(-10) + A^(-8) + A^(-8)*v + A^(-6) + A^(-6)*v - A^(-2)*v
k4.11m	-A^2*v + A^6*v  + A^6 + A^8*v + A^8 + A^10
k4.12	A^(-16) + A^(-14)*v - A^(-10)*v + A^(-6)*v - A^(-2)*v
k4.12m	- A^2*v + A^6*v - A^10*v + A^14*v + A^16
k4.13	+ A^(-20) - A^(-16) - A^(-16)*v^(2) - A^(-14)*v + A^(-12) + A^(-12)*v^(2) + 2*A^(-10)*v - A^(-6)*v
k4.13m	- A^(6)*v + 2*A^(10)*v + A^(12) + A^(12)*v^(2) - A^(14)*v - A^(16) - A^(16)*v^(2) + A^(20)
k4.14	+ A^(-12) - A^(-12)*v^(2) - A^(-10)*v - A^(-8) + A^(-8)*v^(2) + A^(-6)*v - A^(-2)*v - 1
k4.14m	- 1 - A^(2)*v + A^(6)*v - A^(8) + A^(8)*v^(2) - A^(10)*v + A^(12) - A^(12)*v^(2)
k4.15	+ A^(-8) - 2*A^(-4) - A^(-2)*v + 1 + A^(2)*v - A^(4) - A^(6)*v
k4.15m	- A^(-6)*v - A^(-4) + A^(-2)*v + 1 - A^(2)*v - 2*A^(4) + A^(8)
k4.16	+ A^(-20) + A^(-18)*v - A^(-16) - A^(-14)*v + A^(-12) + A^(-10)*v - A^(-6)*v
k4.16m	- A^(6)*v + A^(10)*v + A^(12) - A^(14)*v - A^(16) + A^(18)*v + A^(20)
k4.17	+ A^(-14)*v + A^(-12) - A^(-10)*v - A^(-8) + A^(-6)*v + A^(-4)*v^(2) - 1
k4.17m	- 1 + A^(4)*v^(2) + A^(6)*v - A^(8) - A^(10)*v + A^(12) + A^(14)*v
k4.18	+ A^(-14)*v - 2*A^(-10)*v - A^(-8) + 2*A^(-6)*v + A^(-4) + A^(-4)*v^(2) - 1
k4.18m	- 1 + A^(4) + A^(4)*v^(2) + 2*A^(6)*v - A^(8) - 2*A^(10)*v + A^(14)*v
k4.19	- A^(-6)*v - A^(-4)*v^(2) + 1 + v^(2) + A^(2)*v
k4.19m	+ A^(-2)*v + 1 + v^(2) - A^(4)*v^(2) - A^(6)*v
k4.20	- A^(-12) - A^(-10)*v + 2*A^(-6)*v + A^(-4)*v^(2)
k4.20m	+ A^(4)*v^(2) + 2*A^(6)*v - A^(10)*v - A^(12)
k4.21	- A^(-6)*v - A^(-4) + A^(-2)*v + 2 - A^(4) + A^(8)
k4.21m	+ A^(-8) - A^(-4) + 2 + A^(2)*v - A^(4) - A^(6)*v
k4.22	+ A^(-12)*v^(2) - A^(-10)*v + A^(-10)*v^(3) + A^(-8) - A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3)
k4.22m	+ A^(6)*v - A^(6)*v^(3) + A^(8) - A^(8)*v^(2) - A^(10)*v + A^(10)*v^(3) + A^(12)*v^(2)
k4.23	- A^(-4)*v^(2) - A^(-2)*v + 1 - 2*v^(2) + v^(4) - A^(2)*v + A^(2)*v^(3)
k4.23m	- A^(-2)*v + A^(-2)*v^(3) + 1 - 2*v^(2) + v^(4) - A^(2)*v - A^(4)*v^(2)
k4.24	- A^(-18)*v - A^(-16)*v^(2) + A^(-14)*v + A^(-12) + A^(-12)*v^(2) - A^(-8) + A^(-4)
k4.24m	+ A^(4) - A^(8) + A^(12) + A^(12)*v^(2) + A^(14)*v - A^(16)*v^(2) - A^(18)*v
k4.25	+ A^(-10)*v + A^(-8)*v^(2) - A^(-4)*v^(2) + v^(2) - A^(4)
k4.25m	- A^(-4) + v^(2) - A^(4)*v^(2) + A^(8)*v^(2) + A^(10)*v
k4.26	- A^(-12) - A^(-10)*v + A^(-8)*v^(2) + A^(-6)*v + A^(-6)*v^(3) - A^(-2)*v^(3) + A^(2)*v
k4.26m	+ A^(-2)*v - A^(2)*v^(3) + A^(6)*v + A^(6)*v^(3) + A^(8)*v^(2) - A^(10)*v - A^(12)
k4.27	+ A^(-8) - A^(-4)*v^(2) + 2*v^(2) + A^(2)*v - A^(4)*v^(2) - A^(6)*v
k4.27m	- A^(-6)*v - A^(-4)*v^(2) + A^(-2)*v + 2*v^(2) - A^(4)*v^(2) + A^(8)
k4.28	- A^(-12) + A^(-12)*v^(2) - A^(-10)*v + A^(-10)*v^(3) + 2*A^(-6)*v - A^(-6)*v^(3)
k4.28m	+ 2*A^(6)*v - A^(6)*v^(3) - A^(10)*v + A^(10)*v^(3) - A^(12) + A^(12)*v^(2)
k4.29	- A^(-12) - A^(-10)*v + A^(-8)*v^(2) + A^(-6)*v^(3) - A^(-4)*v^(2) - A^(-2)*v - A^(-2)*v^(3) + A^(2)*v
k4.29m	+ A^(-2)*v - A^(2)*v - A^(2)*v^(3) - A^(4)*v^(2) + A^(6)*v^(3) + A^(8)*v^(2) - A^(10)*v - A^(12)
k4.30	- A^(-6)*v - A^(-4)*v^(2) + A^(-2)*v^(3) + v^(4) - A^(2)*v - 2*A^(4)*v^(2) + A^(8)
k4.30m	+ A^(-8) - 2*A^(-4)*v^(2) - A^(-2)*v + v^(4) + A^(2)*v^(3) - A^(4)*v^(2) - A^(6)*v
k4.31	+ A^(-8) + A^(-6)*v - A^(-4)*v^(2) - A^(-2)*v^(3) + v^(2) + A^(2)*v^(3) - A^(6)*v
