0_1	+ 1
1_1	- A^(2)*v - A^(4)
1_1m	- A^(-4) - A^(-2)*v
2_1|2_1ms	+ A^(4) + A^(6) - A^(10)
2_1s|2_1m	- A^(-10) + A^(-6) + A^(-4)
2_2|2_2s	+ A^(-2) + 1 + v + A^(2)
2_3	- A^(4) + A^(4)*v^(2) + A^(6)*v
2_3m	+ A^(-6)*v - A^(-4) + A^(-4)*v^(2)
2_4|2_4ms	+ A^(4) + 2*A^(6) + A^(8)*v
2_4s|2_4m	+ A^(-8)*v + 2*A^(-6) + A^(-4)
2_5	- A^(2)*v + A^(6)*v + A^(8)
2_5m	+ A^(-8) + A^(-6)*v - A^(-2)*v
2_6	- A^(-4) + v^(2) + A^(2)*v
2_6m	+ A^(-2)*v + v^(2) - A^(4)
3_1	+ A^(4) + A^(12) - A^(16)
3_1m	- A^(-16) + A^(-12) + A^(-4)
3_2|3_2ms	+ A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)
3_2s|3_2m	+ A^(-2) + 1 - A^(2) - A^(4) + A^(8)
3_3|3_3ms|3_6s|3_6m	- v - A^(2)*v - A^(2)*v^(2) - A^(4) - A^(4)*v
3_3s|3_3m|3_6|3_6ms	- A^(-4) - A^(-4)*v - A^(-2)*v - A^(-2)*v^(2) - v
3_4|3_4ms|3_5s|3_5m	- A^(-6) - A^(-4) - A^(-4)*v - A^(-2) - A^(-2)*v
3_4s|3_4m|3_5|3_5ms	- A^(2) - A^(2)*v - A^(4) - A^(4)*v - A^(6)
3_7|3_7ms	- A^(6)*v - A^(8) - A^(8)*v - 2*A^(10)
3_7s|3_7m	- 2*A^(-10) - A^(-8) - A^(-8)*v - A^(-6)*v
3_8|3_8ms	- 1 - A^(2) - A^(2)*v - 2*A^(4)*v + A^(6) - A^(6)*v^(2)
3_8s|3_8m	+ A^(-6) - A^(-6)*v^(2) - 2*A^(-4)*v - A^(-2) - A^(-2)*v - 1
3_9	+ 2*A^(6)*v - A^(6)*v^(3) + A^(8) - A^(8)*v^(2)
3_9m	+ A^(-8) - A^(-8)*v^(2) + 2*A^(-6)*v - A^(-6)*v^(3)
3_10|3_10ms	+ A^(4) + A^(6) - A^(8) - A^(10) - A^(10)*v - A^(12)
3_10s|3_10m	- A^(-12) - A^(-10) - A^(-10)*v - A^(-8) + A^(-6) + A^(-4)
3_11	+ A^(4)*v^(2) + A^(6)*v + A^(8) - A^(8)*v^(2) - A^(10)*v
3_11m	- A^(-10)*v + A^(-8) - A^(-8)*v^(2) + A^(-6)*v + A^(-4)*v^(2)
3_12	+ A^(-2)*v + 1 + A^(2)*v - A^(2)*v^(3) - A^(4)*v^(2)
3_12m	- A^(-4)*v^(2) + A^(-2)*v - A^(-2)*v^(3) + 1 + A^(2)*v
3_13|3_13ms	- A^(6)*v - A^(8) - 2*A^(8)*v - A^(10) - A^(10)*v^(2) + A^(14)
3_13s|3_13m	+ A^(-14) - A^(-10) - A^(-10)*v^(2) - A^(-8) - 2*A^(-8)*v - A^(-6)*v
3_14|3_14ms	- 1 - 2*A^(2) - A^(2)*v - 2*A^(4)*v + A^(8)*v
3_14s|3_14m	+ A^(-8)*v - 2*A^(-4)*v - 2*A^(-2) - A^(-2)*v - 1
3_15	+ A^(4) - A^(8) - A^(10)*v + A^(12) + A^(14)*v
3_15m	+ A^(-14)*v + A^(-12) - A^(-10)*v - A^(-8) + A^(-4)
3_16	- A^(6)*v - A^(8) + A^(12) - A^(16)
3_16m	- A^(-16) + A^(-12) - A^(-8) - A^(-6)*v
3_17|3_17ms	+ A^(-8) - 2*A^(-4) - 2*A^(-2) - A^(-2)*v - v
3_17s|3_17m	- v - 2*A^(2) - A^(2)*v - 2*A^(4) + A^(8)
3_18|3_18ms	- A^(-6)*v - 2*A^(-4) - A^(-2) + 1 + A^(2)
3_18s|3_18m	+ A^(-2) + 1 - A^(2) - 2*A^(4) - A^(6)*v
3_19|3_19ms|1_1*2_1|1_1*2_1ms	- A^(6)*v - A^(8) - A^(8)*v - A^(10) + A^(12)*v + A^(14)
3_19s|3_19m|1_1m*2_1s|1_1m*2_1m	+ A^(-14) + A^(-12)*v - A^(-10) - A^(-8) - A^(-8)*v - A^(-6)*v
3_20|3_20ms|1_1m*2_1|1_1m*2_1ms	- 1 - A^(2) - A^(2)*v - A^(4)*v + A^(6) + A^(8)*v
3_20s|3_20m|1_1*2_1s|1_1*2_1m	+ A^(-8)*v + A^(-6) - A^(-4)*v - A^(-2) - A^(-2)*v - 1
3_21	- A^(2)*v + A^(6)*v - A^(10)*v - A^(12)
3_21m	- A^(-12) - A^(-10)*v + A^(-6)*v - A^(-2)*v
3_22	- A^(-4) + v^(2) - A^(4)*v^(2) - A^(6)*v
3_22m	- A^(-6)*v - A^(-4)*v^(2) + v^(2) - A^(4)
3_23	+ A^(-2)*v - A^(2)*v^(3) - A^(4)*v^(2) + A^(6)*v + A^(8)
3_23m	+ A^(-8) + A^(-6)*v - A^(-4)*v^(2) - A^(-2)*v^(3) + A^(2)*v
3_24	+ A^(-8) - A^(-4)*v^(2) - A^(-2)*v + v^(2) + A^(2)*v
3_24m	+ A^(-2)*v + v^(2) - A^(2)*v - A^(4)*v^(2) + A^(8)
3_25	- A^(4) + A^(4)*v^(2) - A^(8)*v^(2) - A^(10)*v
3_25m	- A^(-10)*v - A^(-8)*v^(2) - A^(-4) + A^(-4)*v^(2)
3_26	+ A^(-6)*v + A^(-2)*v - A^(-2)*v^(3) + 1 - v^(2)
3_26m	+ 1 - v^(2) + A^(2)*v - A^(2)*v^(3) + A^(6)*v
4_1	+ A^(-8) - A^(-4) + 1 - A^(4) + A^(8)
4_2|4_2ms	- A^(2) + A^(4) + 2*A^(6) + A^(8) - A^(10) - A^(12)
4_2s|4_2m	- A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) + A^(-4) - A^(-2)
4_3|4_3ms	+ A^(8) + A^(10) + A^(12) - A^(14) - A^(16)
4_3s|4_3m	- A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)
4_4|4_4ms	+ A^(4) - A^(8) + 2*A^(12) + A^(14) - A^(16) - A^(18)
4_4s|4_4m	- A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)
4_5|4_5ms	+ A^(-14) - 2*A^(-10) - A^(-8) + A^(-6) + 2*A^(-4)
4_5s|4_5m	+ 2*A^(4) + A^(6) - A^(8) - 2*A^(10) + A^(14)
4_6|4_6ms	+ A^(8) + A^(10) - A^(14) + A^(18) - A^(22)
4_6s|4_6m	- A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)
4_7|4_7ms	- A^(-4) + 2 + A^(2) - A^(6)
4_7s|4_7m	- A^(-6) + A^(-2) + 2 - A^(4)
4_8|4_8ms	+ A^(4) + A^(6) - A^(8) - A^(10) + A^(12) + A^(14) - A^(18)
4_8s|4_8m	- A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)
4_9|4_9ms|4_20s|4_20m	- A^(2) + A^(2)*v^(2) - A^(4) - A^(4)*v + A^(4)*v^(2) + A^(4)*v^(3) - A^(6) + A^(6)*v + A^(6)*v^(2)
4_9s|4_9m|4_20|4_20ms	- A^(-6) + A^(-6)*v + A^(-6)*v^(2) - A^(-4) - A^(-4)*v + A^(-4)*v^(2) + A^(-4)*v^(3) - A^(-2) + A^(-2)*v^(2)
4_10|4_10ms|4_19s|4_19m	+ A^(-8)*v + A^(-6)*v + A^(-6)*v^(2) - A^(-4) + A^(-4)*v + A^(-4)*v^(2)
4_10s|4_10m|4_19|4_19ms	- A^(4) + A^(4)*v + A^(4)*v^(2) + A^(6)*v + A^(6)*v^(2) + A^(8)*v
4_11|4_11ms|4_18s|4_18m	- v - A^(2)*v - A^(2)*v^(2) + A^(6)*v + A^(6)*v^(2) + A^(8) + A^(8)*v
4_11s|4_11m|4_18|4_18ms	+ A^(-8) + A^(-8)*v + A^(-6)*v + A^(-6)*v^(2) - A^(-2)*v - A^(-2)*v^(2) - v
4_12|4_12ms|4_17s|4_17m	- A^(-6) - A^(-4) - A^(-4)*v - A^(-2) + A^(-2)*v^(2) + v^(2) + v^(3) + A^(2)*v + A^(2)*v^(2)
4_12s|4_12m|4_17|4_17ms	+ A^(-2)*v + A^(-2)*v^(2) + v^(2) + v^(3) - A^(2) + A^(2)*v^(2) - A^(4) - A^(4)*v - A^(6)
4_13|4_13ms|4_16s|4_16m	+ A^(-4)*v + A^(-2)*v + A^(-2)*v^(2) + v + v^(2) - A^(4)
4_13s|4_13m|4_16|4_16ms	- A^(-4) + v + v^(2) + A^(2)*v + A^(2)*v^(2) + A^(4)*v
4_14|4_14ms|4_15s|4_15m	+ A^(-10) + A^(-8) + A^(-8)*v + A^(-6) + A^(-6)*v - A^(-2)*v
4_14s|4_14m|4_15|4_15ms	- A^(2)*v + A^(6) + A^(6)*v + A^(8) + A^(8)*v + A^(10)
4_21|4_21ms|4_85s|4_85m	+ A^(4)*v + A^(4)*v^(2) + 2*A^(6)*v + A^(6)*v^(2) + A^(8) + A^(8)*v
4_21s|4_21m|4_85|4_85ms	+ A^(-8) + A^(-8)*v + 2*A^(-6)*v + A^(-6)*v^(2) + A^(-4)*v + A^(-4)*v^(2)
4_22|4_22s|4_84|4_84s	+ A^(-2) + A^(-2)*v + 1 + v + v^(2) + A^(2) + A^(2)*v
4_23|4_23ms|4_60|4_60ms	- A^(6)*v - A^(8) - A^(8)*v - A^(10) + A^(10)*v + A^(12)*v + A^(12)*v^(2) + A^(14) + A^(14)*v
4_23s|4_23m|4_60s|4_60m	+ A^(-14) + A^(-14)*v + A^(-12)*v + A^(-12)*v^(2) - A^(-10) + A^(-10)*v - A^(-8) - A^(-8)*v - A^(-6)*v
4_24|4_24ms|4_61|4_61ms	- 1 - A^(2) - A^(2)*v + A^(4) - A^(4)*v + A^(6) + A^(6)*v + A^(8) + A^(8)*v
4_24s|4_24m|4_61s|4_61m	+ A^(-8) + A^(-8)*v + A^(-6) + A^(-6)*v + A^(-4) - A^(-4)*v - A^(-2) - A^(-2)*v - 1
4_25|4_25ms|4_35s|4_35m	+ A^(-4)*v + A^(-2)*v + A^(-2)*v^(2) + 1 + v + v^(2) + A^(2)*v
4_25s|4_25m|4_35|4_35ms	+ A^(-2)*v + 1 + v + v^(2) + A^(2)*v + A^(2)*v^(2) + A^(4)*v
4_26|4_26ms	+ A^(-10) + A^(-8) + A^(-8)*v + A^(-6) + 2*A^(-6)*v + A^(-4)*v^(2)
4_26s|4_26m	+ A^(4)*v^(2) + A^(6) + 2*A^(6)*v + A^(8) + A^(8)*v + A^(10)
4_27	- A^(8) + A^(8)*v^(2) + A^(10)*v + A^(12) - A^(16)
4_27m	- A^(-16) + A^(-12) + A^(-10)*v - A^(-8) + A^(-8)*v^(2)
4_28	+ A^(4) + A^(6)*v - A^(8) + A^(8)*v^(2) - A^(10)*v + A^(12) - A^(12)*v^(2)
4_28m	+ A^(-12) - A^(-12)*v^(2) - A^(-10)*v - A^(-8) + A^(-8)*v^(2) + A^(-6)*v + A^(-4)
4_29|4_29ms|4_110|4_110ms	- A^(-4) + A^(-4)*v^(2) + 2*A^(-2)*v + 1 + v + A^(2) - A^(2)*v - A^(4) - A^(4)*v - A^(6)
4_29s|4_29m|4_110s|4_110m	- A^(-6) - A^(-4) - A^(-4)*v + A^(-2) - A^(-2)*v + 1 + v + 2*A^(2)*v - A^(4) + A^(4)*v^(2)
4_30|4_30ms|4_58|4_58ms	+ 2*A^(-8) + A^(-6) + A^(-6)*v - A^(-4) + A^(-4)*v - A^(-2) - A^(-2)*v - v
4_30s|4_30m|4_58s|4_58m	- v - A^(2) - A^(2)*v - A^(4) + A^(4)*v + A^(6) + A^(6)*v + 2*A^(8)
4_31|4_31ms	- A^(8) + A^(8)*v^(2) - A^(10) + A^(10)*v + A^(10)*v^(2) + A^(12) + 2*A^(12)*v + A^(14) + A^(14)*v + A^(16)
4_31s|4_31m	+ A^(-16) + A^(-14) + A^(-14)*v + A^(-12) + 2*A^(-12)*v - A^(-10) + A^(-10)*v + A^(-10)*v^(2) - A^(-8) + A^(-8)*v^(2)
4_32|4_32ms	+ A^(4) + 2*A^(6) + A^(6)*v + A^(8)*v + A^(8)*v^(2) + A^(10)*v
4_32s|4_32m	+ A^(-10)*v + A^(-8)*v + A^(-8)*v^(2) + 2*A^(-6) + A^(-6)*v + A^(-4)
4_33|4_33ms	- A^(2) + A^(2)*v^(2) - A^(4) + 2*A^(4)*v + A^(4)*v^(2) + A^(6) + 2*A^(6)*v + 2*A^(8)
