0_1	+ 1
2_1|2_1ms	+ A^(4) + A^(6) - A^(10)
2_1s|2_1m	- A^(-10) + A^(-6) + A^(-4)
3_1	+ A^(4) + A^(12) - A^(16)
3_1m	- A^(-16) + A^(-12) + A^(-4)
3_2|3_2ms	+ A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)
3_2s|3_2m	+ A^(-2) + 1 - A^(2) - A^(4) + A^(8)
4_1	+ A^(-8) - A^(-4) + 1 - A^(4) + A^(8)
4_2|4_2ms|6_30|6_30ms	- A^(2) + A^(4) + 2*A^(6) + A^(8) - A^(10) - A^(12)
4_2s|4_2m|6_30s|6_30m	- A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) + A^(-4) - A^(-2)
4_3|4_3ms	+ A^(8) + A^(10) + A^(12) - A^(14) - A^(16)
4_3s|4_3m	- A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)
4_4|4_4ms	+ A^(4) - A^(8) + 2*A^(12) + A^(14) - A^(16) - A^(18)
4_4s|4_4m	- A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)
4_5|4_5ms	+ A^(-14) - 2*A^(-10) - A^(-8) + A^(-6) + 2*A^(-4)
4_5s|4_5m	+ 2*A^(4) + A^(6) - A^(8) - 2*A^(10) + A^(14)
4_6|4_6ms	+ A^(8) + A^(10) - A^(14) + A^(18) - A^(22)
4_6s|4_6m	- A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)
4_7|4_7ms	- A^(-4) + 2 + A^(2) - A^(6)
4_7s|4_7m	- A^(-6) + A^(-2) + 2 - A^(4)
4_8|4_8ms	+ A^(4) + A^(6) - A^(8) - A^(10) + A^(12) + A^(14) - A^(18)
4_8s|4_8m	- A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)
2_1*2_1|2_1*2_1ms|2_1ms*2_1ms|6_25|6_25ms	+ A^(8) + 2*A^(10) + A^(12) - 2*A^(14) - 2*A^(16) + A^(20)
2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	- A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)
2_1s*2_1s|2_1m*2_1s|2_1m*2_1m|6_25s|6_25m	+ A^(-20) - 2*A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8)
